age_group,count,population,rate,lo,hi
0-4,408.0,600632,67.92844870070194,61.496251148493364,74.85054176625307
5-9,637.0,651336,97.79898546986503,90.35069498636649,105.69756743499227
10-14,316.0,655232,48.22719281109592,43.055821872330704,53.848629536204236
15-19,192.0,631851,30.386910838156464,26.240543621524328,35.00241735835989
20-24,29.0,719079,4.0329365758143405,2.700920919335419,5.791969649869708
25-29,19.0,827115,2.297141268142882,1.3830291028897712,3.587270642121783
30-34,13.0,842111,1.5437394832747702,0.8219762585934399,2.6398415313609336
35-39,5.0,738934,0.6766504180346283,0.21970654890943178,1.5790763558481098
40-44,3.0,683807,0.4387202821848855,0.09047466944556011,1.2821268383830997
45+,2.0,3358415,0.0595519017155414,0.007212011575221197,0.21512194495689066
