age_group,count,population,rate,lo,hi
0-4,114.0,578263,19.714213082974357,16.261794747710884,23.682792014366367
5-9,130.0,627814,20.70676983947475,17.300451837427012,24.58760771283803
10-14,104.0,632388,16.44559985325465,13.437246802616507,19.926596803703635
15-19,63.0,610954,10.311741964206798,7.92382565553008,13.193197407151846
20-24,8.0,697050,1.1476938526648015,0.49549274467376825,2.261414420800992
25-29,10.0,802756,1.2457085341000254,0.5973656623098965,2.2909023466679512
30-34,4.0,817367,0.48937625326199863,0.13333855827630978,1.252997573354894
35-39,6.0,722171,0.8308281556584245,0.30489929026378115,1.8083631193330505
40-44,3.0,678365,0.4422397971593464,0.09120047804583097,1.292412354667815
45+,19.0,3802723,0.499641967085165,0.3008171030171467,0.7802528233475218
