Year,Level,Microdata file,Encoding,Dictionary,Questionnaire,Variable,Role,Question wording (verbatim Spanish),Observed codes,Value labels,Note
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diag_enfermedad_cron,filter: prolonged medical diagnosis,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",NO=282473; SÍ=73798; NO SABE=8696,,Pregunta filtro; las categorías solo se marcan si la respuesta es Sí
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,absent,ASD category,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,,,"Sin categoría TEA en 2019; categorías disponibles: diagnostico_asma, diagnostico_broncopu, diagnostico_diabet_1, diagnostico_diabet_2, diagnostico_epilepsi, diagnostico_obesidad, diagnostico_enfcelia, diagnostico_dislipid, diagnostico_alergia, diagnostico_otro"
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,absent,expansion weight,No se publica factor de expansión para este año,,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,sexo,sex,Sexo (registro administrativo),M=186444; F=178523,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,ds_grado,grade,Glosa del curso,KINDER=184826; PRE-KINDER=177342; Nivel de Transición 1=1453; Nivel de Transición 2=1346,,Grados presentes en el archivo
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_asma,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Asma como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=343429; Y=21538,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_broncopu,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Bronco Pulmonar como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=344453; Y=20514,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_diabet_1,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Diabetes tipo I como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=364826; Y=141,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_diabet_2,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Diabetes tipo II como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=364945; Y=22,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_epilepsi,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Epilepsia como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=363058; Y=1909,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_obesidad,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Obesidad como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=361797; Y=3170,,
2019,parvularia,EV_2019_JUNAEB_parvularia_desidentificada.csv,utf-8,diccionario parvularia 2019.xlsx,ENCUESTA PARVULARIA 2019.pdf,diagnostico_enfcelia,other item category,Respuesta a si el/la estudiante ha sido diagnosticado/a por un médico de Enfermedad Celiaca como enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo.,sin dato=364725; Y=242,,
