Source,Provider,Unit of observation,Period,Population or coverage,Geography,Stock or flow,Possible denominator,Definition and schema breaks,Person-level linkage,Files (n; GB; SHA-256)
Public GRD (FONASA-financed hospital episodes),FONASA,"GRD episode (hospitalisation or major ambulatory surgery), one row per coded episode",2019–2024 (6 annual files),"Public hospitals reporting to the GRD: 65 (2019–2022), 68 (2023) and 72 (2024); the fixed panel is those same 65 hospitals, reporting in every year 2019–2024; 781,912 to 1,151,475 episodes per year","Hospital of care (COD_HOSPITAL, health service); patient's reported comuna of residence (never mixed)",Flow (episodes discharged in the year),"GRD episodes of the same year and panel (per 100,000 episodes); INE base-2017 population by age and sex as a complementary reading","Encrypted identifier changes format between 2020 and 2021 (no overlap); observed panel 65/65/65/65/68/72 and fixed panel of 65 hospitals reporting in every year 2019–2024; mean coding depth from 4.39 (2019) to 5.78 (2024) diagnoses per episode; 2019 emergency and day-hospital activity categories absent from 2020; 2022 omits one malformed row (932,839 vs 932,840 records)","Unique persons within each year only; no deduplication across 2020/2021; no linkage to REM, DEIS, FONASA, surveys or education",6 files; 3.00 GB; SHA-256 6/6 verified against the manifest; latest version/download 2026-09-01
"REM Series A (A03 detection, A27 assisted referral, A05 entries/exits, A28 rehabilitation)","DEIS, Ministry of Health",Row establishment × month × service code (cells Col01–Col50 kept as text),2019–2025 (7 annual files),Activity reported by public-network establishments (primary and specialty care); the reporting panel varies by year and code and is reported alongside every count,"Establishment of care (IdEstablecimiento, establishment's comuna); never residence","Flow (monthly activity: screenings, interventions, programme entries and exits)",INE population by age and sex (A05); reporting establishments and stable panel; APS enrolment as operational coverage; no ratios between stages,"A03: legacy codes 2019–2022 (subgroup with language/social alteration), M-CHAT-R/F family 2023–2024, 31–59-month codes in 2024, full redesign 2025; A05: broad PDD only 2019–2020, strict autism and categories from 2021; A27 ASD-specific from 2023; A28 from 2023; 2020 reporting disruption","Aggregate rows without persons; A27 counts interventions, not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD",7 files; 3.73 GB; SHA-256 7/7 verified against the manifest; latest version/download 2026-07-07
"REM Series P (P2 NANEAS, P6 mental health: population under control)","DEIS, Ministry of Health","Row establishment × semester (June, December) × code",2019–2025 (7 annual files extracted from the official ZIPs),"People under control in public-network establishments; P2 in December: 460, 400, 640, 897, 1,012, 1,218 and 1,325 reporting establishments (2019–2025)",Establishment of care; never residence,Semiannual stock (December as primary series; June only as sensitivity; never summed or averaged),Total NANEAS under control (P2501878) only from December 2023; reporting establishments; INE population as territorial context,P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023 (no June 2023 row); June 2020 records 172 people with ASD in 28 establishments (reporting collapse),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",7 files; 0.71 GB; SHA-256 7/7 verified against the manifest; latest version/download 2026-09-04
DEIS hospital discharges (external check),"DEIS, Ministry of Health","Hospital discharge, one row per discharge",2019–2024 (6 annual files),All discharges from public and private establishments reported to DEIS (broader universe than the GRD panel),"Patient's residence (COMUNA_RESIDENCIA, 5 digits with leading zero) and establishment sector",Flow (discharges of the year),DEIS discharges of the same year; INE population,"Only two diagnosis fields: DIAG1 and DIAG2 (external cause, never F84), so 'F84 in any position' equals F84 principal; column set changes by year; official 15-column variants in 2021 and 2024",No identifier; no linkage to GRD episodes or persons; principal-versus-principal comparisons only,6 files; 1.71 GB; SHA-256 6/6 verified against the manifest; latest version/download 2025-08-05
FONASA beneficiaries (December aggregates),Fondo Nacional de Salud (FONASA),Aggregated cell (dimension combination × count) at 31 December,December 2018–2025 (8 files),"FONASA beneficiaries: 14,841,577 (2019) to 17,132,611 (2025)",Mixed: APS-centre comuna for enrolled persons and domicile for non-enrolled; the INSCRITO_APS variable that separates the mixture disappears from 2023,Stock (December snapshot),"Public insurance layer by comuna, age band and sex (distinct from INE, APS and REM-20)","Schema changes in 2021, 2023, 2024 and 2025; age bands: 23 (2018–2022 and 2025), 10 ten-year bands (2023) and 18 (2024); additive repeated rows in 2018–2020 (never deduplicate); count column renamed in 2024; Latin-1 (2018–2024) and UTF-8 (2025) encodings",Aggregate without persons; not linkable to REM or GRD,8 files; 0.02 GB; SHA-256 8/8 verified against the manifest; latest version/download 2026-09-04
FONASA primary-care (APS) enrolment,FONASA,Cell APS centre × tramo × age group × sex (TOTAL_INSCRITOS at 31 December),December 2019–2025 (7 files),"Persons enrolled in APS centres: 13,777,051 (2019) to 15,791,862 (2025); 1,890 to 2,091 centres",APS-centre comuna (place of care); never residence,Stock (December snapshot),"Operational coverage per centre (offset for REM primary-care indicators); the continuous panel of 1,871 centre codes retains 99.87% (2019) and 97.54% (2025) of enrolled persons",2024: variable names and age groups change (20-year bands in 2019–2023); Latin-1 (2019–2023) and UTF-8 (2024–2025) encodings; tramo X and missing tramos kept separate,Aggregate without persons,7 files; 0.11 GB; SHA-256 7/7 verified against the manifest; latest version/download 2026-09-04
ISAPRE beneficiaries by comuna,Superintendencia de Salud,"Aggregate of contributors and dependants by comuna, age and sex in December",December 2019–2025 (7 files),"ISAPRE beneficiaries: 3,431,126 (2019) to 2,517,305 (2025)",Administrative comuna of the beneficiary (as published by the Superintendencia),Stock (December snapshot),Private insurance layer; FONASA + ISAPRE = 95.6% (2019) and 97.2% (2025) of the INE projection (not a non-insurance rate),Format .xls → .xlsx and single ages → five-year groups in 2021; separate unborn/unclassified sheet in 2019–2020; sex sheets and 'Total' are duplicated views,Aggregate without persons,7 files; 0.02 GB; SHA-256 7/7 verified against the manifest; latest version/download 2026-09-04
"INE population projections, Census 2017 base",Instituto Nacional de Estadísticas (INE),Cell comuna × sex × single age × year (and a reconciled local parquet derivative),2002–2035 (2019–2025 used),"Resident population, 346 comunas; national 19,107,216 (2019) to 20,206,953 (2025)","Comuna of residence (4-digit INE code; DEIS uses 5 digits with leading zero); aliases Aisén/Aysén, Coihaique/Coyhaique, Cabo de Hornos (Ex-Navarino)",Stock (mid-year population),"Territorial population denominator (rates per 100,000 population) and WHO direct standardisation",Census 2017 base; never combined with Census 2024 or the 2024 base without an explicit flag,Territorial; not users of a specific provider,3 files; 0.02 GB; SHA-256 2/2 verified against the manifest; latest version/download 2026-09-04
"INE Census 2024 and national projection, 2024 base (sensitivity)",Instituto Nacional de Estadísticas (INE),Census tabulation comuna × sex × five-year age (D1) and disability tabulation (P1); national estimate by sex and age 1992–2070 (2024 base),Census 2024; projection 1992–2070,"Population enumerated in Census 2024 (18,480,432); national resident population",Comuna of enumeration; national,Stock (census night 2024; projection),Observed 2024 denominator and bridge between census bases (sensitivity only),"Different base from the 2017 projections; no comuna disaggregation equivalent in the 2024 base; P1 is disability context, not autism",Territorial,3 files; 0.00 GB; SHA-256 3/3 verified against the manifest; latest version/download 2026-09-04
REM-20 hospital indicators (discharges and bed-days),"DEIS, Ministry of Health",Establishment × functional area × month,2014–July 2026 (2019–2025 used),Public hospitals reporting REM-20: 192 to 203 establishments per year,Establishment (DEIS code); never residence,Activity and capacity (monthly discharges and bed-days; beds are capacity),"Hospital activity/capacity intensity, never a covered population; the panel of 188 establishments with 12 months in every year retains 99.76% (2019) and 98.16% (2025) of discharges",Continuously updated mutable dataset (download 2026-09-04); no diagnoses or persons,Establishment codes link to the DEIS catalogue; no persons; compatibility with GRD hospital codes must be verified,2 files; 0.03 GB; SHA-256 2/2 verified against the manifest; latest version/download 2026-09-04
